epoch,train_mse,val_mse
1,0.8410886425704923,0.6861491799354553
2,0.6102424676098578,0.5416496992111206
3,0.49893200508342334,0.4617692232131958
4,0.4346481342464834,0.40931275486946106
5,0.3890215911186708,0.3753138780593872
6,0.35806983614623655,0.34734028577804565
7,0.3344443834956018,0.3307431936264038
8,0.3188435600849405,0.3199772238731384
9,0.3068163863814453,0.30857202410697937
10,0.2965066944905559,0.2982037663459778
11,0.28826305192896695,0.2914522886276245
12,0.28013402733246245,0.28303053975105286
13,0.27251625166789445,0.27618104219436646
14,0.2664802455062861,0.27130866050720215
15,0.2606796420366315,0.2667277753353119
16,0.25551308234294834,0.26210057735443115
17,0.2508882239781606,0.2572866976261139
18,0.24615919307984907,0.25272658467292786
19,0.2421938857814602,0.2503170669078827
20,0.23851972247343958,0.24751265347003937
21,0.23476255976127663,0.2429288774728775
22,0.2316741142769697,0.24117165803909302
23,0.22967262917754486,0.23996977508068085
24,0.2258557913857035,0.23608891665935516
25,0.22350979088946968,0.2333836555480957
26,0.2214247021785366,0.23232001066207886
27,0.21901714615338003,0.23057715594768524
28,0.21808971044802167,0.22958268225193024
29,0.21529268915409952,0.22781997919082642
30,0.21431271375941469,0.22577166557312012
31,0.21184913264697683,0.22346538305282593
32,0.2101409075516521,0.222425639629364
33,0.2077254929998007,0.21971431374549866
34,0.20644873206952163,0.22151167690753937
35,0.20523575783727244,0.21758964657783508
36,0.20336825569521688,0.215979665517807
37,0.2019323112619081,0.214975044131279
38,0.20023686190658577,0.213509202003479
39,0.19981307023412842,0.2120235413312912
40,0.19706413936195372,0.2104947417974472
41,0.1959295338021056,0.20956619083881378
42,0.19531789159348364,0.20996864140033722
43,0.19415086149974004,0.20808720588684082
44,0.19265924138876386,0.20692084729671478
45,0.19198314766564803,0.206405907869339
46,0.19073940964103236,0.20362800359725952
47,0.1897369830849097,0.2029295712709427
48,0.18928300040271423,0.20294754207134247
49,0.18836506738891387,0.20277519524097443
50,0.186599192164283,0.20082540810108185
51,0.18711270299140623,0.20600810647010803
52,0.1872483753713767,0.19950354099273682
53,0.18469927962500435,0.19910480082035065
54,0.18428709907877966,0.19830068945884705
55,0.18320874174138632,0.1976325511932373
56,0.1822382743387153,0.1972448229789734
57,0.18216685024875173,0.19653403759002686
58,0.18150937786567103,0.19677157700061798
59,0.1810267229114687,0.1962832510471344
60,0.18001398362842605,0.196107417345047
61,0.17985641151492507,0.19487246870994568
62,0.17931587819115669,0.19409076869487762
63,0.1784602535515068,0.1944611370563507
64,0.1781520215478296,0.1929628998041153
65,0.17699639383664714,0.19217561185359955
66,0.17610652335556176,0.19152699410915375
67,0.17584402778939642,0.19084636867046356
68,0.17514051141070558,0.19081267714500427
69,0.17462998765587245,0.18969132006168365
70,0.17360622177687027,0.18926005065441132
71,0.17285421610863883,0.18823935091495514
72,0.17294127762411096,0.19041509926319122
73,0.17259276601915535,0.1883624941110611
74,0.17172616009649702,0.1867240071296692
75,0.17086732671890092,0.186350479722023
76,0.1702468588011751,0.18598246574401855
77,0.1693258810747514,0.18627093732357025
78,0.16935333879700376,0.18455897271633148
79,0.1682573973206657,0.18516024947166443
80,0.1680622034871682,0.1843688040971756
81,0.16784280668734416,0.18629924952983856
82,0.16748129774256107,0.1840895712375641
83,0.16708156637432264,0.18282060325145721
84,0.1660217480415188,0.1835090070962906
85,0.16580020082596617,0.18286924064159393
86,0.16560366328869924,0.1817861944437027
87,0.16466360693051296,0.18322469294071198
88,0.16530189083752952,0.18063057959079742
89,0.16454713988358502,0.18333961069583893
90,0.16506312430346642,0.1795775294303894
91,0.16297100819896831,0.18040594458580017
92,0.16326775695840332,0.17948465049266815
93,0.16284383076352069,0.17870278656482697
94,0.16192116743056917,0.17845194041728973
95,0.16159287953633297,0.1790497899055481
96,0.16184497345915816,0.17826999723911285
97,0.16133160345087505,0.1783934086561203
98,0.16078652137192598,0.17804154753684998
99,0.16069964933076,0.1767771989107132
100,0.16038904451306293,0.17666278779506683
101,0.16014531133087234,0.17771489918231964
102,0.15962113694866378,0.17711783945560455
103,0.15927156442435222,0.17604948580265045
104,0.1591385701676286,0.17617157101631165
105,0.15858430784151598,0.17585183680057526
106,0.1586354823810381,0.17774556577205658
107,0.15825700505270449,0.17478689551353455
108,0.1580772667664552,0.17494285106658936
109,0.15773951022589633,0.17485783994197845
110,0.15712595736010387,0.17406964302062988
111,0.15704195166570228,0.1740962415933609
112,0.157306704724873,0.17332768440246582
113,0.15642295141997833,0.17356769740581512
114,0.1560997754055091,0.17340141534805298
115,0.15653313200528488,0.17315344512462616
116,0.1558191610211675,0.17247514426708221
117,0.15578510177234,0.1727362424135208
118,0.15545046179998256,0.17248031497001648
119,0.15553022545636405,0.17343616485595703
120,0.15548224312908818,0.17172253131866455
121,0.1545103838025156,0.1724894940853119
122,0.15435929960830438,0.1731158196926117
123,0.1543796466756652,0.17282308638095856
124,0.15421007765151504,0.17103885114192963
125,0.15438686943647104,0.17122554779052734
126,0.15379022844364046,0.17052686214447021
127,0.15288029387922425,0.17070266604423523
128,0.15332198658610607,0.1709946244955063
129,0.1529577743770119,0.17106346786022186
130,0.15303700994787792,0.16952666640281677
131,0.15253990164242426,0.17184486985206604
132,0.1527143788631611,0.17217165231704712
133,0.15296134140326018,0.17009146511554718
134,0.15195435985500222,0.16975292563438416
135,0.15208267723246655,0.16979707777500153
136,0.1515657567894661,0.16938701272010803
137,0.15206638388404722,0.16886006295681
138,0.15166786664297086,0.1694381833076477
139,0.1517553163998416,0.16999146342277527
140,0.15103648545413476,0.16902005672454834
141,0.1510395484698945,0.16849622130393982
142,0.1506876967580838,0.16815172135829926
143,0.1502417294204753,0.16854418814182281
144,0.15030851427163597,0.16859114170074463
145,0.15033801875979844,0.1682668924331665
146,0.15018236838643226,0.16837716102600098
147,0.1496465125067954,0.1680258959531784
148,0.14973799999204987,0.16862519085407257
149,0.1494201642993476,0.1684183031320572
150,0.1498772453464163,0.1681445986032486
151,0.14959287268620738,0.16710583865642548
152,0.14897333652957545,0.1671702265739441
153,0.14928088757758026,0.16766832768917084
154,0.14885589589339743,0.16740195453166962
155,0.14847885454900417,0.16672658920288086
156,0.14843493241758893,0.1663116216659546
157,0.1485238061177012,0.16603119671344757
158,0.14870781541184958,0.1664150506258011
159,0.1482934921415032,0.16584771871566772
160,0.1480101948261295,0.16785843670368195
161,0.1479663355887845,0.16697874665260315
162,0.1480430616189293,0.16544395685195923
163,0.14767752534918113,0.16745176911354065
164,0.14760144472810233,0.1657518744468689
165,0.1473633544863298,0.16660086810588837
166,0.14754656571573693,0.1649806648492813
167,0.14679507113800982,0.1658799648284912
168,0.14735667241448705,0.16498689353466034
169,0.14652054563315486,0.16492457687854767
170,0.14631622392422491,0.1664888709783554
171,0.14732112769805691,0.16536356508731842
172,0.14605164577160124,0.16364161670207977
173,0.14589560860299447,0.16681240499019623
174,0.14636269218139844,0.16494596004486084
175,0.1459680158531834,0.16386893391609192
176,0.14585209402056762,0.16489754617214203
177,0.14580375047232566,0.1657351553440094
178,0.14576881950238296,0.16536110639572144
179,0.14578457606497935,0.16467946767807007
180,0.14565160586204695,0.16415733098983765
181,0.1454831425393088,0.16468872129917145
182,0.14536416221840592,0.16343653202056885
183,0.14434559417744383,0.16415300965309143
184,0.14479466415893935,0.16355331242084503
185,0.1444850342173819,0.1635245382785797
186,0.1446651723992371,0.16391927003860474
187,0.14458999611321585,0.16418476402759552
188,0.1446719736378978,0.1640329509973526
189,0.14396146693485523,0.1626383662223816
190,0.14409374460223326,0.16376788914203644
191,0.14422684335608385,0.16284042596817017
192,0.14411355551872154,0.16391819715499878
193,0.1436930123482468,0.16286100447177887
194,0.14389818018702882,0.16273434460163116
195,0.14429825451556852,0.163339763879776
196,0.14350586549643185,0.16259707510471344
197,0.14344707060882947,0.16269831359386444
198,0.14345417039311473,0.16216133534908295
199,0.14327828521757058,0.1624634563922882
200,0.14311453341392943,0.16291603446006775
